"Date","Price","Open","High","Low","Vol.","Change %"
"02/14/2024","117.86","116.81","117.90","116.68","11.89M","1.67%"
"02/13/2024","115.92","116.11","116.14","115.09","13.89M","-1.02%"
"02/12/2024","117.12","116.88","117.43","116.77","8.38M","0.15%"
"02/09/2024","116.95","116.93","116.96","116.29","10.11M","0.15%"
"02/08/2024","116.77","117.03","117.10","116.29","8.53M","0.02%"
"02/07/2024","116.75","116.37","117.10","116.32","7.56M","0.66%"
"02/06/2024","115.98","115.09","116.04","114.82","8.72M","0.90%"
"02/05/2024","114.95","115.12","115.36","114.30","9.54M","-0.55%"
"02/02/2024","115.58","114.57","116.08","114.13","12.83M","0.67%"
"02/01/2024","114.81","113.60","114.83","112.98","13.95M","1.70%"
"01/31/2024","112.89","114.13","114.34","112.86","14.46M","-1.16%"
"01/30/2024","114.21","113.36","114.37","113.36","8.30M","0.04%"
"01/29/2024","114.17","113.32","114.18","113.17","5.85M","0.65%"
"01/26/2024","113.43","113.73","114.11","113.11","7.03M","-0.16%"
"01/25/2024","113.61","113.09","113.63","112.80","9.90M","0.96%"
"01/24/2024","112.53","113.69","113.71","112.47","9.64M","-0.62%"
"01/23/2024","113.23","113.35","113.71","112.74","10.28M","-0.08%"
"01/22/2024","113.32","112.84","113.61","112.84","9.91M","0.77%"
"01/19/2024","112.45","111.98","112.74","111.10","10.36M","0.65%"
"01/18/2024","111.72","110.64","111.89","110.50","9.06M","1.35%"
"01/17/2024","110.23","110.19","110.94","109.95","7.60M","-0.68%"
"01/16/2024","110.98","111.55","111.64","110.61","10.83M","-1.01%"
"01/12/2024","112.11","112.50","112.75","111.67","6.63M","-0.01%"
"01/11/2024","112.12","112.41","112.57","111.20","9.08M","-0.23%"
"01/10/2024","112.38","111.83","112.52","111.72","9.11M","0.51%"
"01/09/2024","111.81","111.40","111.94","110.99","8.45M","-0.31%"
"01/08/2024","112.16","111.13","112.16","110.64","10.86M","0.66%"
"01/05/2024","111.43","111.22","111.94","111.03","7.89M","0.12%"
"01/04/2024","111.30","111.36","112.24","111.23","10.72M","0.13%"
